Feature,Explanation
TransactionAmount,TransactionAmount minimally decreases fraud likelihood (impact: -0.0008)
TransactionType,TransactionType minimally decreases fraud likelihood (impact: -0.0052)
Location,Location minimally decreases fraud likelihood (impact: -0.0000)
DeviceID,DeviceID minimally decreases fraud likelihood (impact: -0.0011)
IP Address,IP Address minimally decreases fraud likelihood (impact: -0.0009)
MerchantID,MerchantID minimally increases fraud likelihood (impact: +0.0002)
Channel,Channel minimally decreases fraud likelihood (impact: -0.0001)
CustomerAge,CustomerAge minimally increases fraud likelihood (impact: +0.0000)
CustomerOccupation,CustomerOccupation minimally increases fraud likelihood (impact: +0.0054)
TransactionDuration,TransactionDuration minimally increases fraud likelihood (impact: +0.0014)
LoginAttempts,LoginAttempts minimally decreases fraud likelihood (impact: -0.0090)
AccountBalance,AccountBalance minimally increases fraud likelihood (impact: +0.0033)
AnomalyScore,AnomalyScore slightly decreases fraud likelihood (impact: -0.0322)
